id,City,Title,Rating,Reviews,Description,Tips,Address,Timings,Ticket Price
1,Cairo,Great Pyramids of Giza - Section 1,4.8,150000,"The last surviving wonder of the ancient world, these iconic pyramids date back to 2560 BC.",Visit during sunset for the best photos,"Al Haram, Nazlet El-Semman, Al Giza Desert, Giza",08:00-17:00,240.0
2,Cairo,The Sphinx - Section 1,4.7,140000,"A colossal limestone statue with the body of a lion and a human head, guarding the Giza plateau.",Check opening hours before visiting,"Al Haram, Giza",08:00-17:00,240.0
3,Cairo,Egyptian Museum - Section 1,4.6,85000,Home to the world's largest collection of ancient Egyptian antiquities including Tutankhamun's treasures.,Check opening hours before visiting,"Tahrir Square, Downtown Cairo",09:00-19:00,200.0
4,Cairo,Grand Egyptian Museum - Section 1,4.9,50000,"The world's largest archaeological museum dedicated to one civilization, opening near the Pyramids.",Combine with nearby attractions for a full day trip,Giza Plateau,09:00-21:00,350.0
5,Cairo,Khan El Khalili - Section 1,4.5,95000,A historic bazaar and one of the oldest markets in the Middle East dating back to the 14th century.,Bring water and sun protection,"El-Gamaleya, Islamic Cairo",09:00-23:00,
6,Cairo,Al-Azhar Mosque - Section 1,4.6,40000,"One of the oldest and most prestigious mosques in the Islamic world, founded in 970 AD.",Combine with nearby attractions for a full day trip,Islamic Cairo,09:00-17:00,
7,Cairo,Citadel of Saladin - Section 1,4.7,60000,A medieval Islamic fortification with stunning views and the magnificent Muhammad Ali Mosque.,Bring water and sun protection,"Salah Salem St, Cairo",08:00-17:00,180.0
8,Cairo,Muhammad Ali Mosque - Section 1,4.7,55000,"An Ottoman-style mosque known as the Alabaster Mosque, dominating Cairo's skyline.",Wear comfortable walking shoes,"Citadel of Saladin, Cairo",08:00-17:00,180.0
9,Cairo,Coptic Cairo - Section 1,4.4,30000,"Home to the Hanging Church, Ben Ezra Synagogue, and the Coptic Museum.",Combine with nearby attractions for a full day trip,Old Cairo,09:00-17:00,100.0
10,Cairo,Hanging Church - Section 1,4.5,25000,"One of the oldest churches in Egypt, built on top of the southern gatehouse of the Roman Babylon Fortress.",Book tickets online in advance,Coptic Cairo,09:00-16:00,50.0
11,Cairo,Al-Azhar Park - Section 1,4.3,20000,"A stunning public park with gardens, fountains, and views over Islamic Cairo.",Book tickets online in advance,"Salah Salem St, Cairo",09:00-23:00,30.0
12,Cairo,Islamic Cairo - Section 1,4.5,35000,"A historic area with medieval architecture, mosques, and madrasas from the Fatimid era.",Combine with nearby attractions for a full day trip,Islamic Cairo District,Open 24 hours,
13,Cairo,Saqqara - Section 1,4.6,20000,"The vast ancient burial ground serving as the necropolis for Memphis, featuring the Step Pyramid.",Bring water and sun protection,"Saqqara, Giza",08:00-17:00,150.0
14,Cairo,Dahshur - Section 1,4.4,10000,"Home to the Bent Pyramid and the Red Pyramid, early experiments in pyramid construction.",Wear comfortable walking shoes,"Dahshur, Giza",08:00-17:00,100.0
15,Cairo,Memphis - Section 1,4.2,8000,The ancient capital of Egypt with the colossal statue of Ramses II.,Wear comfortable walking shoes,"Mit Rahina, Giza",08:00-17:00,80.0
16,Cairo,El Moez Street - Section 1,4.6,45000,A historic street in Islamic Cairo with the greatest concentration of medieval architectural treasures.,Bring water and sun protection,Islamic Cairo,Open 24 hours,
17,Cairo,Cairo Tower - Section 1,4.3,30000,A free-standing concrete tower offering panoramic views of Cairo and the Nile.,Hire a local guide for the best experience,"Zamalek, Cairo",09:00-00:00,150.0
18,Cairo,Nilometer - Section 1,4.1,5000,An ancient structure for measuring the Nile's clarity and water level during the annual flood season.,Arrive early to avoid crowds and heat,"Rhoda Island, Cairo",09:00-17:00,40.0
19,Cairo,Manial Palace - Section 1,4.4,12000,A former royal palace with beautiful gardens and ornate interiors.,Check opening hours before visiting,"Rhoda Island, Cairo",09:00-17:00,60.0
20,Cairo,Gayer-Anderson Museum - Section 1,4.3,8000,A historic house museum with an impressive collection of furniture and artifacts.,Check opening hours before visiting,"Sayyida Zeinab, Cairo",09:00-17:00,50.0
21,Cairo,Great Pyramids of Giza - Section 2,4.8,150000,"The last surviving wonder of the ancient world, these iconic pyramids date back to 2560 BC.",Arrive early to avoid crowds and heat,"Al Haram, Nazlet El-Semman, Al Giza Desert, Giza",08:00-17:00,240.0
22,Cairo,The Sphinx - Section 2,4.7,140000,"A colossal limestone statue with the body of a lion and a human head, guarding the Giza plateau.",Wear comfortable walking shoes,"Al Haram, Giza",08:00-17:00,240.0
23,Cairo,Egyptian Museum - Section 2,4.6,85000,Home to the world's largest collection of ancient Egyptian antiquities including Tutankhamun's treasures.,Visit during sunset for the best photos,"Tahrir Square, Downtown Cairo",09:00-19:00,200.0
24,Cairo,Grand Egyptian Museum - Section 2,4.9,50000,"The world's largest archaeological museum dedicated to one civilization, opening near the Pyramids.",Arrive early to avoid crowds and heat,Giza Plateau,09:00-21:00,350.0
25,Cairo,Khan El Khalili - Section 2,4.5,95000,A historic bazaar and one of the oldest markets in the Middle East dating back to the 14th century.,Visit during sunset for the best photos,"El-Gamaleya, Islamic Cairo",09:00-23:00,
26,Cairo,Al-Azhar Mosque - Section 2,4.6,40000,"One of the oldest and most prestigious mosques in the Islamic world, founded in 970 AD.",Book tickets online in advance,Islamic Cairo,09:00-17:00,
27,Cairo,Citadel of Saladin - Section 2,4.7,60000,A medieval Islamic fortification with stunning views and the magnificent Muhammad Ali Mosque.,Check opening hours before visiting,"Salah Salem St, Cairo",08:00-17:00,180.0
28,Cairo,Muhammad Ali Mosque - Section 2,4.7,55000,"An Ottoman-style mosque known as the Alabaster Mosque, dominating Cairo's skyline.",Visit during sunset for the best photos,"Citadel of Saladin, Cairo",08:00-17:00,180.0
29,Cairo,Coptic Cairo - Section 2,4.4,30000,"Home to the Hanging Church, Ben Ezra Synagogue, and the Coptic Museum.",Visit during sunset for the best photos,Old Cairo,09:00-17:00,100.0
30,Cairo,Hanging Church - Section 2,4.5,25000,"One of the oldest churches in Egypt, built on top of the southern gatehouse of the Roman Babylon Fortress.",Arrive early to avoid crowds and heat,Coptic Cairo,09:00-16:00,50.0
31,Cairo,Al-Azhar Park - Section 2,4.3,20000,"A stunning public park with gardens, fountains, and views over Islamic Cairo.",Wear comfortable walking shoes,"Salah Salem St, Cairo",09:00-23:00,30.0
32,Cairo,Islamic Cairo - Section 2,4.5,35000,"A historic area with medieval architecture, mosques, and madrasas from the Fatimid era.",Bring water and sun protection,Islamic Cairo District,Open 24 hours,
33,Cairo,Saqqara - Section 2,4.6,20000,"The vast ancient burial ground serving as the necropolis for Memphis, featuring the Step Pyramid.",Wear comfortable walking shoes,"Saqqara, Giza",08:00-17:00,150.0
34,Cairo,Dahshur - Section 2,4.4,10000,"Home to the Bent Pyramid and the Red Pyramid, early experiments in pyramid construction.",Book tickets online in advance,"Dahshur, Giza",08:00-17:00,100.0
35,Cairo,Memphis - Section 2,4.2,8000,The ancient capital of Egypt with the colossal statue of Ramses II.,Hire a local guide for the best experience,"Mit Rahina, Giza",08:00-17:00,80.0
36,Cairo,El Moez Street - Section 2,4.6,45000,A historic street in Islamic Cairo with the greatest concentration of medieval architectural treasures.,Visit during sunset for the best photos,Islamic Cairo,Open 24 hours,
37,Cairo,Cairo Tower - Section 2,4.3,30000,A free-standing concrete tower offering panoramic views of Cairo and the Nile.,Visit during sunset for the best photos,"Zamalek, Cairo",09:00-00:00,150.0
38,Cairo,Nilometer - Section 2,4.1,5000,An ancient structure for measuring the Nile's clarity and water level during the annual flood season.,Combine with nearby attractions for a full day trip,"Rhoda Island, Cairo",09:00-17:00,40.0
39,Cairo,Manial Palace - Section 2,4.4,12000,A former royal palace with beautiful gardens and ornate interiors.,Visit during sunset for the best photos,"Rhoda Island, Cairo",09:00-17:00,60.0
40,Cairo,Gayer-Anderson Museum - Section 2,4.3,8000,A historic house museum with an impressive collection of furniture and artifacts.,Wear comfortable walking shoes,"Sayyida Zeinab, Cairo",09:00-17:00,50.0
41,Cairo,Great Pyramids of Giza - Section 3,4.8,150000,"The last surviving wonder of the ancient world, these iconic pyramids date back to 2560 BC.",Bring water and sun protection,"Al Haram, Nazlet El-Semman, Al Giza Desert, Giza",08:00-17:00,240.0
42,Cairo,The Sphinx - Section 3,4.7,140000,"A colossal limestone statue with the body of a lion and a human head, guarding the Giza plateau.",Hire a local guide for the best experience,"Al Haram, Giza",08:00-17:00,240.0
43,Cairo,Egyptian Museum - Section 3,4.6,85000,Home to the world's largest collection of ancient Egyptian antiquities including Tutankhamun's treasures.,Wear comfortable walking shoes,"Tahrir Square, Downtown Cairo",09:00-19:00,200.0
44,Cairo,Grand Egyptian Museum - Section 3,4.9,50000,"The world's largest archaeological museum dedicated to one civilization, opening near the Pyramids.",Combine with nearby attractions for a full day trip,Giza Plateau,09:00-21:00,350.0
45,Cairo,Khan El Khalili - Section 3,4.5,95000,A historic bazaar and one of the oldest markets in the Middle East dating back to the 14th century.,Wear comfortable walking shoes,"El-Gamaleya, Islamic Cairo",09:00-23:00,
46,Cairo,Al-Azhar Mosque - Section 3,4.6,40000,"One of the oldest and most prestigious mosques in the Islamic world, founded in 970 AD.",Arrive early to avoid crowds and heat,Islamic Cairo,09:00-17:00,
47,Cairo,Citadel of Saladin - Section 3,4.7,60000,A medieval Islamic fortification with stunning views and the magnificent Muhammad Ali Mosque.,Book tickets online in advance,"Salah Salem St, Cairo",08:00-17:00,180.0
48,Cairo,Muhammad Ali Mosque - Section 3,4.7,55000,"An Ottoman-style mosque known as the Alabaster Mosque, dominating Cairo's skyline.",Bring water and sun protection,"Citadel of Saladin, Cairo",08:00-17:00,180.0
49,Cairo,Coptic Cairo - Section 3,4.4,30000,"Home to the Hanging Church, Ben Ezra Synagogue, and the Coptic Museum.",Hire a local guide for the best experience,Old Cairo,09:00-17:00,100.0
50,Cairo,Hanging Church - Section 3,4.5,25000,"One of the oldest churches in Egypt, built on top of the southern gatehouse of the Roman Babylon Fortress.",Book tickets online in advance,Coptic Cairo,09:00-16:00,50.0
51,Cairo,Al-Azhar Park - Section 3,4.3,20000,"A stunning public park with gardens, fountains, and views over Islamic Cairo.",Arrive early to avoid crowds and heat,"Salah Salem St, Cairo",09:00-23:00,30.0
52,Cairo,Islamic Cairo - Section 3,4.5,35000,"A historic area with medieval architecture, mosques, and madrasas from the Fatimid era.",Book tickets online in advance,Islamic Cairo District,Open 24 hours,
53,Cairo,Saqqara - Section 3,4.6,20000,"The vast ancient burial ground serving as the necropolis for Memphis, featuring the Step Pyramid.",Combine with nearby attractions for a full day trip,"Saqqara, Giza",08:00-17:00,150.0
54,Cairo,Dahshur - Section 3,4.4,10000,"Home to the Bent Pyramid and the Red Pyramid, early experiments in pyramid construction.",Visit during sunset for the best photos,"Dahshur, Giza",08:00-17:00,100.0
55,Cairo,Memphis - Section 3,4.2,8000,The ancient capital of Egypt with the colossal statue of Ramses II.,Visit during sunset for the best photos,"Mit Rahina, Giza",08:00-17:00,80.0
56,Cairo,El Moez Street - Section 3,4.6,45000,A historic street in Islamic Cairo with the greatest concentration of medieval architectural treasures.,Bring water and sun protection,Islamic Cairo,Open 24 hours,
57,Cairo,Cairo Tower - Section 3,4.3,30000,A free-standing concrete tower offering panoramic views of Cairo and the Nile.,Book tickets online in advance,"Zamalek, Cairo",09:00-00:00,150.0
58,Cairo,Nilometer - Section 3,4.1,5000,An ancient structure for measuring the Nile's clarity and water level during the annual flood season.,Wear comfortable walking shoes,"Rhoda Island, Cairo",09:00-17:00,40.0
59,Cairo,Manial Palace - Section 3,4.4,12000,A former royal palace with beautiful gardens and ornate interiors.,Visit during sunset for the best photos,"Rhoda Island, Cairo",09:00-17:00,60.0
60,Cairo,Gayer-Anderson Museum - Section 3,4.3,8000,A historic house museum with an impressive collection of furniture and artifacts.,Bring water and sun protection,"Sayyida Zeinab, Cairo",09:00-17:00,50.0
61,Cairo,Great Pyramids of Giza - Section 4,4.8,150000,"The last surviving wonder of the ancient world, these iconic pyramids date back to 2560 BC.",Bring water and sun protection,"Al Haram, Nazlet El-Semman, Al Giza Desert, Giza",08:00-17:00,240.0
62,Cairo,The Sphinx - Section 4,4.7,140000,"A colossal limestone statue with the body of a lion and a human head, guarding the Giza plateau.",Combine with nearby attractions for a full day trip,"Al Haram, Giza",08:00-17:00,240.0
63,Cairo,Egyptian Museum - Section 4,4.6,85000,Home to the world's largest collection of ancient Egyptian antiquities including Tutankhamun's treasures.,Bring water and sun protection,"Tahrir Square, Downtown Cairo",09:00-19:00,200.0
64,Cairo,Grand Egyptian Museum - Section 4,4.9,50000,"The world's largest archaeological museum dedicated to one civilization, opening near the Pyramids.",Arrive early to avoid crowds and heat,Giza Plateau,09:00-21:00,350.0
65,Cairo,Khan El Khalili - Section 4,4.5,95000,A historic bazaar and one of the oldest markets in the Middle East dating back to the 14th century.,Wear comfortable walking shoes,"El-Gamaleya, Islamic Cairo",09:00-23:00,
66,Cairo,Al-Azhar Mosque - Section 4,4.6,40000,"One of the oldest and most prestigious mosques in the Islamic world, founded in 970 AD.",Visit during sunset for the best photos,Islamic Cairo,09:00-17:00,
67,Cairo,Citadel of Saladin - Section 4,4.7,60000,A medieval Islamic fortification with stunning views and the magnificent Muhammad Ali Mosque.,Visit during sunset for the best photos,"Salah Salem St, Cairo",08:00-17:00,180.0
68,Cairo,Muhammad Ali Mosque - Section 4,4.7,55000,"An Ottoman-style mosque known as the Alabaster Mosque, dominating Cairo's skyline.",Hire a local guide for the best experience,"Citadel of Saladin, Cairo",08:00-17:00,180.0
69,Cairo,Coptic Cairo - Section 4,4.4,30000,"Home to the Hanging Church, Ben Ezra Synagogue, and the Coptic Museum.",Arrive early to avoid crowds and heat,Old Cairo,09:00-17:00,100.0
70,Cairo,Hanging Church - Section 4,4.5,25000,"One of the oldest churches in Egypt, built on top of the southern gatehouse of the Roman Babylon Fortress.",Visit during sunset for the best photos,Coptic Cairo,09:00-16:00,50.0
71,Cairo,Al-Azhar Park - Section 4,4.3,20000,"A stunning public park with gardens, fountains, and views over Islamic Cairo.",Combine with nearby attractions for a full day trip,"Salah Salem St, Cairo",09:00-23:00,30.0
72,Cairo,Islamic Cairo - Section 4,4.5,35000,"A historic area with medieval architecture, mosques, and madrasas from the Fatimid era.",Visit during sunset for the best photos,Islamic Cairo District,Open 24 hours,
73,Cairo,Saqqara - Section 4,4.6,20000,"The vast ancient burial ground serving as the necropolis for Memphis, featuring the Step Pyramid.",Hire a local guide for the best experience,"Saqqara, Giza",08:00-17:00,150.0
74,Cairo,Dahshur - Section 4,4.4,10000,"Home to the Bent Pyramid and the Red Pyramid, early experiments in pyramid construction.",Check opening hours before visiting,"Dahshur, Giza",08:00-17:00,100.0
75,Cairo,Memphis - Section 4,4.2,8000,The ancient capital of Egypt with the colossal statue of Ramses II.,Book tickets online in advance,"Mit Rahina, Giza",08:00-17:00,80.0
76,Cairo,El Moez Street - Section 4,4.6,45000,A historic street in Islamic Cairo with the greatest concentration of medieval architectural treasures.,Book tickets online in advance,Islamic Cairo,Open 24 hours,
77,Cairo,Cairo Tower - Section 4,4.3,30000,A free-standing concrete tower offering panoramic views of Cairo and the Nile.,Arrive early to avoid crowds and heat,"Zamalek, Cairo",09:00-00:00,150.0
78,Cairo,Nilometer - Section 4,4.1,5000,An ancient structure for measuring the Nile's clarity and water level during the annual flood season.,Bring water and sun protection,"Rhoda Island, Cairo",09:00-17:00,40.0
79,Cairo,Manial Palace - Section 4,4.4,12000,A former royal palace with beautiful gardens and ornate interiors.,Hire a local guide for the best experience,"Rhoda Island, Cairo",09:00-17:00,60.0
80,Cairo,Gayer-Anderson Museum - Section 4,4.3,8000,A historic house museum with an impressive collection of furniture and artifacts.,Check opening hours before visiting,"Sayyida Zeinab, Cairo",09:00-17:00,50.0
81,Cairo,Great Pyramids of Giza - Section 5,4.8,150000,"The last surviving wonder of the ancient world, these iconic pyramids date back to 2560 BC.",Hire a local guide for the best experience,"Al Haram, Nazlet El-Semman, Al Giza Desert, Giza",08:00-17:00,240.0
82,Cairo,The Sphinx - Section 5,4.7,140000,"A colossal limestone statue with the body of a lion and a human head, guarding the Giza plateau.",Check opening hours before visiting,"Al Haram, Giza",08:00-17:00,240.0
83,Cairo,Egyptian Museum - Section 5,4.6,85000,Home to the world's largest collection of ancient Egyptian antiquities including Tutankhamun's treasures.,Check opening hours before visiting,"Tahrir Square, Downtown Cairo",09:00-19:00,200.0
84,Cairo,Grand Egyptian Museum - Section 5,4.9,50000,"The world's largest archaeological museum dedicated to one civilization, opening near the Pyramids.",Visit during sunset for the best photos,Giza Plateau,09:00-21:00,350.0
85,Cairo,Khan El Khalili - Section 5,4.5,95000,A historic bazaar and one of the oldest markets in the Middle East dating back to the 14th century.,Combine with nearby attractions for a full day trip,"El-Gamaleya, Islamic Cairo",09:00-23:00,
86,Cairo,Al-Azhar Mosque - Section 5,4.6,40000,"One of the oldest and most prestigious mosques in the Islamic world, founded in 970 AD.",Visit during sunset for the best photos,Islamic Cairo,09:00-17:00,
87,Cairo,Citadel of Saladin - Section 5,4.7,60000,A medieval Islamic fortification with stunning views and the magnificent Muhammad Ali Mosque.,Combine with nearby attractions for a full day trip,"Salah Salem St, Cairo",08:00-17:00,180.0
88,Cairo,Muhammad Ali Mosque - Section 5,4.7,55000,"An Ottoman-style mosque known as the Alabaster Mosque, dominating Cairo's skyline.",Hire a local guide for the best experience,"Citadel of Saladin, Cairo",08:00-17:00,180.0
89,Cairo,Coptic Cairo - Section 5,4.4,30000,"Home to the Hanging Church, Ben Ezra Synagogue, and the Coptic Museum.",Bring water and sun protection,Old Cairo,09:00-17:00,100.0
90,Cairo,Hanging Church - Section 5,4.5,25000,"One of the oldest churches in Egypt, built on top of the southern gatehouse of the Roman Babylon Fortress.",Book tickets online in advance,Coptic Cairo,09:00-16:00,50.0
91,Cairo,Al-Azhar Park - Section 5,4.3,20000,"A stunning public park with gardens, fountains, and views over Islamic Cairo.",Arrive early to avoid crowds and heat,"Salah Salem St, Cairo",09:00-23:00,30.0
92,Cairo,Islamic Cairo - Section 5,4.5,35000,"A historic area with medieval architecture, mosques, and madrasas from the Fatimid era.",Wear comfortable walking shoes,Islamic Cairo District,Open 24 hours,
93,Cairo,Saqqara - Section 5,4.6,20000,"The vast ancient burial ground serving as the necropolis for Memphis, featuring the Step Pyramid.",Combine with nearby attractions for a full day trip,"Saqqara, Giza",08:00-17:00,150.0
94,Cairo,Dahshur - Section 5,4.4,10000,"Home to the Bent Pyramid and the Red Pyramid, early experiments in pyramid construction.",Book tickets online in advance,"Dahshur, Giza",08:00-17:00,100.0
95,Cairo,Memphis - Section 5,4.2,8000,The ancient capital of Egypt with the colossal statue of Ramses II.,Arrive early to avoid crowds and heat,"Mit Rahina, Giza",08:00-17:00,80.0
96,Cairo,El Moez Street - Section 5,4.6,45000,A historic street in Islamic Cairo with the greatest concentration of medieval architectural treasures.,Bring water and sun protection,Islamic Cairo,Open 24 hours,
97,Cairo,Cairo Tower - Section 5,4.3,30000,A free-standing concrete tower offering panoramic views of Cairo and the Nile.,Hire a local guide for the best experience,"Zamalek, Cairo",09:00-00:00,150.0
98,Cairo,Nilometer - Section 5,4.1,5000,An ancient structure for measuring the Nile's clarity and water level during the annual flood season.,Bring water and sun protection,"Rhoda Island, Cairo",09:00-17:00,40.0
99,Cairo,Manial Palace - Section 5,4.4,12000,A former royal palace with beautiful gardens and ornate interiors.,Combine with nearby attractions for a full day trip,"Rhoda Island, Cairo",09:00-17:00,60.0
100,Cairo,Gayer-Anderson Museum - Section 5,4.3,8000,A historic house museum with an impressive collection of furniture and artifacts.,Hire a local guide for the best experience,"Sayyida Zeinab, Cairo",09:00-17:00,50.0
101,Cairo,Great Pyramids of Giza - Section 6,4.8,150000,"The last surviving wonder of the ancient world, these iconic pyramids date back to 2560 BC.",Check opening hours before visiting,"Al Haram, Nazlet El-Semman, Al Giza Desert, Giza",08:00-17:00,240.0
102,Cairo,The Sphinx - Section 6,4.7,140000,"A colossal limestone statue with the body of a lion and a human head, guarding the Giza plateau.",Visit during sunset for the best photos,"Al Haram, Giza",08:00-17:00,240.0
103,Cairo,Egyptian Museum - Section 6,4.6,85000,Home to the world's largest collection of ancient Egyptian antiquities including Tutankhamun's treasures.,Check opening hours before visiting,"Tahrir Square, Downtown Cairo",09:00-19:00,200.0
104,Cairo,Grand Egyptian Museum - Section 6,4.9,50000,"The world's largest archaeological museum dedicated to one civilization, opening near the Pyramids.",Arrive early to avoid crowds and heat,Giza Plateau,09:00-21:00,350.0
105,Cairo,Khan El Khalili - Section 6,4.5,95000,A historic bazaar and one of the oldest markets in the Middle East dating back to the 14th century.,Visit during sunset for the best photos,"El-Gamaleya, Islamic Cairo",09:00-23:00,
106,Cairo,Al-Azhar Mosque - Section 6,4.6,40000,"One of the oldest and most prestigious mosques in the Islamic world, founded in 970 AD.",Hire a local guide for the best experience,Islamic Cairo,09:00-17:00,
107,Cairo,Citadel of Saladin - Section 6,4.7,60000,A medieval Islamic fortification with stunning views and the magnificent Muhammad Ali Mosque.,Wear comfortable walking shoes,"Salah Salem St, Cairo",08:00-17:00,180.0
108,Cairo,Muhammad Ali Mosque - Section 6,4.7,55000,"An Ottoman-style mosque known as the Alabaster Mosque, dominating Cairo's skyline.",Arrive early to avoid crowds and heat,"Citadel of Saladin, Cairo",08:00-17:00,180.0
109,Cairo,Coptic Cairo - Section 6,4.4,30000,"Home to the Hanging Church, Ben Ezra Synagogue, and the Coptic Museum.",Arrive early to avoid crowds and heat,Old Cairo,09:00-17:00,100.0
110,Cairo,Hanging Church - Section 6,4.5,25000,"One of the oldest churches in Egypt, built on top of the southern gatehouse of the Roman Babylon Fortress.",Visit during sunset for the best photos,Coptic Cairo,09:00-16:00,50.0
111,Cairo,Al-Azhar Park - Section 6,4.3,20000,"A stunning public park with gardens, fountains, and views over Islamic Cairo.",Arrive early to avoid crowds and heat,"Salah Salem St, Cairo",09:00-23:00,30.0
112,Cairo,Islamic Cairo - Section 6,4.5,35000,"A historic area with medieval architecture, mosques, and madrasas from the Fatimid era.",Hire a local guide for the best experience,Islamic Cairo District,Open 24 hours,
113,Cairo,Saqqara - Section 6,4.6,20000,"The vast ancient burial ground serving as the necropolis for Memphis, featuring the Step Pyramid.",Check opening hours before visiting,"Saqqara, Giza",08:00-17:00,150.0
114,Cairo,Dahshur - Section 6,4.4,10000,"Home to the Bent Pyramid and the Red Pyramid, early experiments in pyramid construction.",Wear comfortable walking shoes,"Dahshur, Giza",08:00-17:00,100.0
115,Cairo,Memphis - Section 6,4.2,8000,The ancient capital of Egypt with the colossal statue of Ramses II.,Combine with nearby attractions for a full day trip,"Mit Rahina, Giza",08:00-17:00,80.0
116,Cairo,El Moez Street - Section 6,4.6,45000,A historic street in Islamic Cairo with the greatest concentration of medieval architectural treasures.,Combine with nearby attractions for a full day trip,Islamic Cairo,Open 24 hours,
117,Cairo,Cairo Tower - Section 6,4.3,30000,A free-standing concrete tower offering panoramic views of Cairo and the Nile.,Hire a local guide for the best experience,"Zamalek, Cairo",09:00-00:00,150.0
118,Cairo,Nilometer - Section 6,4.1,5000,An ancient structure for measuring the Nile's clarity and water level during the annual flood season.,Visit during sunset for the best photos,"Rhoda Island, Cairo",09:00-17:00,40.0
